index,text,type
54,@Wix https://t.co/zAmmx9soiD - Italy earthquake death tool raise to 247,2
55,#TechnologyNews: Rescue teams searching for earthquake survivors trapped in central Italy have asked locals to unlock their wi-fi passwords.,0
56,"RT @harshitdalal1: #Earthquake in Nepal 🌍 

#Goldentemple to send 1 lakh &amp; #Delhi Gurudwaras to send 25 k langar meals daily",1
57,\ud83d\udcddRead weekly press briefing by Russian Foreign Ministry Spokesperson Maria #Zakharova:\n\u2800\n\ud83d\udccdUpdate on #COVID19;\n\ud83d\udccdRepatriation flights;\n\ud83d\udccdRussian-US meeting on strategic matters;\n\ud83d\udccdQ&amp;A session &amp; more topics \u27a1\ufe0f https://t.co/awesFULntK https://t.co/i9c3sOBocA,2
58,We are going to Bhaktpur within 5 days to distribute what we have for earthquake victims. If u are interested to... http://t.co/m1a9iWi5e9,1
59,"Italy - Rotary partners sorting transp &amp; accom for incoming SBox team of 3 tmrw. Arr Rome, then on to quake zone. https://t.co/KDBfv134ns",1
60,4 NDRF teams have been sent to Bihar and 1 NDRF team operation in UP: @HMOIndia Rajnath Singh in LS #earthquake http://t.co/KNYygiT3VL,1
61,Devastating earthquake has reduced most of our village to rubble. Looks like clearing the debris will take months.,2
62,https://t.co/HZh6xGqe2e : Italy quake rescuers ask locals to unlock their wifi: Italy quake rescuers ask local... https://t.co/2jdIl78Tj3,0
63,RT @PrashanthCru_PC: RT PLZ Kanti Children Hospital 4414798/4427452 Kathmandu Model Hospital 4240805 #Nepal #earthquake #India #IPL,1
64,"RT @ZeeNews: Nepal quake: US helicopters to join relief efforts http://t.co/yAK8m2fbun
#earthquake #NepalEarthquake",1
65,#NepalRelieffund join hands for earthquake survivors  Give to Nepal Relief Fund - for Food and Water need urgent http://t.co/p61KNiTp5x.,0
66,"Orthopedic surgeon from TATA curing earthquake victim at Bungamati, Lalitpur http://t.co/85IZEZce3F",1
67,#earthquake - We have LandLine electricity at @TingsHotel,1
68,"Day 21, 1500+ Cooked food distributed to Needy in #Curfew/#Lockdown2 Conditions with the help of #Chandigarh Admn (Food &amp; Supply) still cont. Mask &amp; sanitizer Distributed #FeedTheNeedy #COVID19 @narendramodi @JPNadda @arunsoodbjp @manuparida1 @BJP4Chandigarh @TajinderBagga https://t.co/yDXLtbjivT",1
69,"Italy Earthquake: Death Toll Passes 240 
--- Read more --&gt;https://t.co/xb12X3kQJm  
via @theglobengr https://t.co/Poy7xMyYNB",2
70,"RT @sodhi71: @BeingReva TOI : Earthquake in Nepal.
Golden Temple to send 1 lac and Delhi Gurdwaras to send 25 k meals daily.",1
71,Rajasthan Seva Samiti donates more than 800 tents to Nepal Earthquake victims http://t.co/2NRzttJtZW,1
72,"Art of Living #Nepal #Earthquake #Relief Soaps,Salt,Candles,Water and other necessities being shipped tomorrow.  https://t.co/KEGuX6MkOE",1
73,"一人でも多くの方が助かりますように。 #ItalyEarthquake 
&gt;Deadly earthquake rocks central Italy, Army mobilized in rescue https://t.co/pvzeGJecqT @nbcnewsから",1
74,Volunteers needed ! #NepalEarthquake #earthquake https://t.co/kmwolSHZT0,0
75,#Indian health teams provide urgent medical aid to the survivors of #earthquake in #Nepal . #NepalEarthquake,1
76,RT @ExplorersClub: Did Nepal Earthquake Change Mount Everest’s Height? http://t.co/LncpFvUQSv,2
77,#Asylumseekers - Asylum seekers volunteer in wake of Italian earthquake https://t.co/i4dm532POu,1
78,Help out! Give to  Solar lamp  to Nepal earthquake victims http://t.co/CJwspKVX02. Raise funds on #indiegogolife,0
79,#Coronavirus State-Wise Updates:  Lockdown extension in #Jharkhand till July 31;  3460 new cases in Delhi #lockdownextension https://t.co/yyXmFWtZuU https://t.co/I7zBBQTsFj,2
80,"In this era of negativity, I would like to thank each one of you who contributed towards the welfare of society. Be it donation, be it conversion of a building into quarantine centre,be it treatment of  patients,be it any freebie for the society! Salute for Real Heroes!\n#COVID19",2
81,RT @FRANCE24: Israel sending aid team to Nepal after quake http://t.co/axruI1aXie http://t.co/48kwa6mklS,1
82,RT @Mahadevanmenon: next time serve pork to muslim victims-Pakistan serves beef to Nepal earthquake survivors -  http://t.co/yRwmHBnP5Z via…,2
83,"RT @Israel: Israel will send planes to evacuate Israelis from #Nepal, and will extend all possible aid to Nepal. http://t.co/7YqIPpAdvr",1
84,RT @manujosephsan: Unforgettable human behaviour after a powerful earthquake. https://t.co/7nL1koTwPZ,2
85,UN official says donors' response slow to help Nepal earthquake victims - Economic Times http://t.co/2bjrupd740,2
86,Help quake victims near you by disabling your Wi-Fi password https://t.co/cARM7CwRxd,0
87,Hers’s how you can help people affected in Nepal Earthquake http://t.co/Ioer1w1wxM,2
88,RT @NASA_EO: Widespread Power Outages After Nepal's Devastating Earthquake http://t.co/ZFDXrSSdJa http://t.co/xkzsnlIdip,0
89,RT @being_kaushar: Result aa gya lo ab ek aur earthquake :(,2
90,After earthquake. Need shelter soon. http://t.co/972GpUnvvV,0
91,Donate blood in solidarity to earthquake victims.Please find the whole list of blood donation centers in Rome- https://t.co/yDli4ACrrj,0
92,Italian earthquake victims asked to disable WiFi passwords https://t.co/C0Qd89ksu7,0
93,#COVID19 #KejriwalinAction https://t.co/Z15EgXWlzw,2
94,The world kept making sardar jokes...and the same people from the golden temple sent out 1 lakh food packets for the earthquake survivors..,1
95,We are already trying to gather some stuff for the people affected by the #earthquake #terremoto like food and clothes,1
96,#OrderofMalta activated a mobile unit assistance to aid those in #Amatrice #ItalyEarthquake https://t.co/7qLBk0oP1c https://t.co/CwRBw48hnL,1
97,"#COVID19 #Delhi : 3460 new cases and 63 deaths reported today.\n\nTotal number of cases: 77,240\nTotal deaths: 2492\nTests done today: 21,144",2
98,"#Delhi
Need #Blood Type :  B-positive
At : Maharaja Agrasen Hospital
Blood Component : Need Plasma B+ve from #COVID19 recovered patient.
Primary Number : 8800248406
Via: @morethan6feet
#BloodMatters
Powered by Twitter https://t.co/fR7M6BJJF0",0
99,"""Cornwall charity ShelterBox sends relief team to Italy earthquake...""  https://t.co/zGTWyconFG #cornwall #feedly",1
100,"Nepal earthquake: Death toll crosses 5,000; shortage of food, medicine, shelter http://t.co/iMjIJ4cpCx",0
101,"we will manage, and there goes #COVID19.\nNo future outbreaks of #COVID19 will be able to affect us as most of our country will already be immune by previous exposure.\n\nI agree we need to protect elderly people and persons with co morbidities but for everyone else, #letsopenit !",2
102,"Blood donations - apparently shortage of certain types. Please call Dr. Manita at 98510-84500 at Nepal Red Cross Blood
 VIa Kank Mani Dixit",0
103,"RT @BJPRaniganj: India sends 34 member medicl team 2 Nepal 2 aid #NepalQuake survivors #J nadda
http://t.co/b99Vl4kTuU #IndiaWithNepal http…",1
104,"When mudslides &amp; earthquakes bury people, dogs rescue teams &amp; medical teams need to be immediately dispatched @UN https://t.co/uE8oUxmr1T",0
105,"Earthquake in Nepal.
Golden Temple to send 1 lac &amp; Delhi Gurdwaras to send 25 k meals daily.Those who share sardar jokes,    share this 2",1
106,"RT @Samridhip: If anyone is willing to help,please provide us face masks,sanitizers,sanitary pads #earthquake #nepal #NepalEarthquake  #rel…",0
107,Italian Red Cross urges locals to disable WiFi passwords following devastating earthquake - https://t.co/LO3MrUR5dy,0
108,RT @AmitAgrhere: 50+ motorcycle riders available to go earthquake affected area to deliver relief material ! Please call Subindra Manandhar…,2
109,See touching reunions of Brit families as earthquake victims return from Nepal http://t.co/ZL81Nr3UWV,2
110,I request to SPGC pls send food to needy  people of Nepal they want food and water pls send them as soon as possible.,0
111,"RT @BBCSanjoyM: Nepal govt minister: we urgently need body bags, tents and water #NepalEarthquake",0
112,the earthquake of this night was devastating here in Italy ... many dead ..😩😢,2
113,"Real Nepal earthquake visuals caught on a cctv..
this video is really a shocking one..
must watch this and must... http://t.co/I6yx6CrYWz",2
114,Pre and Post Earthquake Satellite Data of Kathmadu (Courtsey: Digital Globe). Now available to rescue team http://t.co/6KUPXfwidi,1
115,"#terremoto For helping victims of the #earthquake: blankets, food, basic goods https://t.co/HwxosDfqS8",1
116,"Destiny Image Daily News Update! #News #BreakingNews #DestinyImage #ChristianNews
https://t.co/1eoMAPNT0J",2
117,TOI: Sikh bodies to send food packets for Nepal quake victims: Delhi Sikh Gurdwara Management Committee (DSGMC... http://t.co/dwnJHF4uRW,1
118,Preparing 500 tents for earthquake victims in western region. http://t.co/QOZ5I6Z9X1,1
119,RT @pamkhamaid: American Himalayan Foundation's Erica Stone blogs earthquake reports from Kathmandu. http://t.co/O33WLBs5gr #NepalQuake,2
120,ML 2.4 NORTHERN ITALY http://t.co/e9dRT8FW7o #Earthquake #Quake http://t.co/THFXsuzhZO,2
121,"RT @rajeshkalra: Nepal army wants foreign rescue teams to leave. Probably coz most foreign teams playing big-brother, which is never a good…",2
122,"RT @Goal_Nepal: Saraswoti Youth Club president Sikchhit Parajuli, VP Uttam Bhandari and his team is providing food to earthquake... http://…",1
123,Sending usable clothes the earthquake effected areas in Nepal from #Australia free of charge. https://t.co/PxBNWVnq6t #NepalEarthquake,1
124,So glad that IFRC are bringing dogs: fastest way to find survivors. Red Cross rescuers join hunt for quake survivors https://t.co/SntNjcbqvN,1
125,"Emergency earthquake kit preparers, what are your favorite food items? Right now, we would be living on water and granola bars. Thanks!",1
126,"Rescue team needed in Gorkha, Gandaki, Western Region, Nepal http://t.co/DFSrJR64bj #NepalWatch",0
127,Italy Earthquake Emphasizes The Need For Mobile Hospitals: BLU-MED Response Systems' Disaster Response Stockpile… https://t.co/wufBk3MrBF,0
128,"Modi knew about earthquake even before the Home Minister was informed
http://t.co/3lKx40NY7P http://t.co/kkfGr9nc02",2
129,#Nepal #death #toll reaches 7176 in earthquake http://t.co/dPGEnUs9Wm,2
130,"RT @HumanAppeal: Huge food distribution in Naikap village, Nepal for the earthquake victims earlier, thanks to you! #NepalEarthquake http:/…",1
131,"Nepal Earthquake Day 5: Rescue teams reach Dhading and Gorkha, as death toll crosses 5,200: http://t.co/YcD1xncp5l",2
132,Help out! to raise fund for #earthquake survivors. Help out! Give to Nepal Relief Fund -for Food &amp; Water need urgent http://t.co/p61KNiTp5x.,0
133,"#News Nepal earthquake death toll rises to 6,624 after a fresh 4.5-magnitude aftershock today http://t.co/bukrMIVfQW @FinancialXpress",2
134,"RT @InfoMumbai: Urgent need of  analgesic,antibiotics, betadiene, swabs in kathmandu!! Call for help 9851166044  #earthquake #Nepal #KTM @B…",0
135,"RT @aap_mayavaram: Delhi Govt has decided to send 25,000 packets of food &amp; 25,000 pouches of drinking water as relief for the people of ear…",1
136,Who can tell if it was an aftershock or a new foreshock? It was scary for sure. Some people will tent out tonight. #nepal #earthquake,2
137,Better Indian media have some grace in reporting Nepal EarthQuake #GoHomeIndianMedia,2
138,"RT TheNextWeb ""Want to help earthquake victims near you? Disable your Wi-Fi password https://t.co/rAQSfIwuSj https://t.co/ZAZIvhTEeq""",0
139,#BitcoinMining I will donate plasma and invest the $70 from the donation… https://t.co/A5OhvPweVz ⭕ Powered by https://t.co/0I4IIflkwI  √ https://t.co/qlnLgeooBG,1
140,I suspect source of last earthquake/aftershock nearer from siliguri than Kathmandu. If duration was more this could've been much worse,2
141,#parentsministermeeting \n#parentsministermeeting\n1) Are you sure Delhi schools willl be safe for kids from August onwards due to this COVID19?\n2) Why schools are charging Annual and Development fees for this year?\nNo appraisals and bonus has been by company?,2
142,"""It's like an apocalyptic movie,"" @TDellaLonga in quake-hit Amatrice, Italy https://t.co/zdQVo5mE35 https://t.co/ifdLp9XCra",2
143,"RT @abpnewstv: Nepal quake:  @yogrishiramdev 's health camp turns into relief camp

http://t.co/FZV8rne9WX",1
144,"RT @rukmini_shrini: From @ketkiangre, this wonderful, deeply South Asian story of a couple on a secret date, caught in the earthquake http:…",2
145,"RT @KirschenbaumJ: 300 beds, 800 patients: A hospital near Katmandu struggles to care for Nepal earthquake victims. http://t.co/i4lQf2Hf9r",0
146,Power supply in Valley to improve by today: NEA  http://t.co/X6lKcxc6z5 #NepalQuakeRelief #Nepal #Earthquake,2
147,Italy Quake Rescuers Ask Locals To Unlock Their Wi-Fi: Rescue teams searching for earthquake survivors… https://t.co/IywqIQUjX4  | Slashdot,0
148,"M4.9  - 249km S of L'Esperance Rock, New Zealand https://t.co/bNMcR3AUov",2
149,RT @TLWH: Polish Trekker missing in Lamjung Nepal. Very difficult situation. No news. No search helicopter as they are all busy in main aid…,0
150,"Constant thinking without any work would cause #Anxiety/ #depression. The discussion of good ideas &amp; the company of good people can get rid of it. Keep yourself as busy as possible in #COVID19, will further help to lower chances of #domesticviolence.\n@HRDMinistry\n@UNHumanRights",2
151,The simplest things mean a hell of a lot. Disable wifi in this and other situations: https://t.co/KA3BlVXPKK   #disablewifi,0
152,#Delhi in last 24 hours 3460 new cases. #coronavirus #COVID19 https://t.co/QOXChasyy4,2
153,"1 Like = 1 Wish
 My prayers for all those affected by the earthquake.. Stay strong... God bless you all.... &lt;3",2
154,RT @yschowdary: Working with authorities to get all Telugu people safely reach their destinations from Nepal #earthquake based on the instr…,2
155,"SGPC &amp; DSGMC will tomorrow send 20,000 &amp; 25,000 food packets for earthquake victims in Nepal#Pb  @Prabhuchawla  @Newindianxpress",1
156,"RT @thehimalayan: A hospital thronging with quake victims
- http://t.co/W2sbkHDNMI

#Nepal #Earthquake",0
157,@zaynmalik wat do u think about the earthquake at Nepal,2
158,https://t.co/lOSfcFps4J #coronaupdate #covid19 #coronanews #ludhiananews,2
159,Football stadium becomes a makeshift hospital and rescue centre after Italy earthquake devastation: Mirror Chief… https://t.co/md7AnTpYqU,1
160,#Italy earthquake: local officials calling for blood donations.,0
161,"#Amatrice mayor (Rieti province close to epicentre): ""we need special units to rescue trapped people"" #terremoto #earthquake",0
162,#Cricket #PCB #CautionYesPanicNo #COVID19 \n\nInzamam calls out @TheRealPCB\nmedical staff for ignoring calls from players \n\nRead: https://t.co/jf0NffvyVv https://t.co/acwyamSmkh,2
163,Sometimes beauracracy &amp; political management needs to be credited too ! 4 lac Lt of water thru Railways on the way to Nepal #IndiaWithNepal,1
164,"RT @reportedly: From @UN_Nepal 
- Most affected areas: Gorkha &amp; Lamjung, NW of Kathmandu.
- 1 Kathmandu hospital so full it’s treating peop…",0
165,"Big earthquake in Nepal: We need your support !
http://t.co/9HyopmSP9h",2
166,"Relief group heading to North-Dhading tomorrow.
Volunteer Doctors/Medical Professionals Needed.

Contact - 9741311750

#Nepal #Earthquake",0
167,@nytimes plz send medicine and food packets to nepal if possible. #NepalEarthquake #NepalQuakeRelief,0
168,"RT @tinucherian: Delhi government to send food packets, drinking water to Nepal  |via @ibnlive http://t.co/nHbcok6FvV",2
169,RT @nanu_shristi: thousands people are waiting for food n drinking Water in open space after earthquake plz help them  @USAIDNepal @BBCNews…,0
170,Anyone can help ? I need to college at-least 50 Tents for Earthquake victim in Nepal (Sindupalchowk victims) Im Raising Fund . Please help,0
171,Was just in Perugia wandering its gorgeous alleyways in awe...heartbreaking news. #perugia #italy #earthquake https://t.co/hMopZsAlPk,2
172,RT @INCIndia: Today 85% of Delhi's buildings are non earthquake resistant: @sushmitadevmp,2
173,#lockdownextension #LockdownCooking #Cooking #cookingtips #DIY #mealkit #GurugramCoronaBulletin #cookityourself #MasterChef #InnovationAmidCOVID19 #innovations #chef #beingchef #weekend #weekendmood #weekendlockdown #Easycooking #startups #Entrepreneurs #Indian #COVID19 #lockdown https://t.co/l5zL79wqEU,2
174,Free train travel for Nepal earthquake victims - The Economic Times http://t.co/sHQWEFtq9o,1
175,RT @dhruve_gandhi: Indian Govt. Rescuing Earthquake Victims Via Twitter Is The Best Thing You Will See On Internet http://t.co/jVlyAuabTN (…,2
176,RT @ticket65dotcom: To help earthquake victims in Nepal Golden Temple to send 1 lakh meals packets daily http://t.co/fJIZnKkB2Q,1
177,RT @RefugeesMedia: #UNHCR opening up warehouses with relief items for refugees in #Nepal &amp; making available all available stocks for #Nepal…,1
178,"#Delhi
Need #Blood Type :  A-positive
At : Sri Gangaram
Blood Component : Need Plasma A+ve from #COVID19 recovered patient.
Primary Number : 9873322741
Secondary Number : 9212217718
Via: @HibernationON
#BloodMatters
Powered by Twitter https://t.co/2HADGjWj7Q",0
179,"These people are missing since the first
earthquake we believe they are dead so
if you see them walking around... http://t.co/hAUZ0AXDUH",2
180,"Verizon is offering free wireless and wireline calling from  the U.S. to Italy

https://t.co/TD164VqsRd",1
181,"RT @CrypticNabin: Delhi gurudwara have informed that they are sending 25,000 packed food daily to Nepal,hope this goes to the people who re…",1
182,"The gloabl pandemic, #COVID19 has brought about several restrictions, imposed by the #Central or the respective State #governments.\n\nThe article highlights some trends that the State of West Bengal is expected to witness post COVID-19.\n\n@SushilMohta1 @CredaiBengal @CredaiH https://t.co/OY5KTBMboX",2
183,"30 Story building in 15 Days, 9 Richter Earthquake proof. Rebuilding after Earthquake, I think #China can help https://t.co/wCN8ZQDRCn",2
184,"RT @gauravsuman2: Earthquake in Nepal Golden Temp
to send1lac &amp;Delhi Gurdwaras
to send25k meals daily.Those who
share sardar jokes,pls shar…",1
185,"GoalNepal's Volunteers Of Nurses, Pharmacist Servicing For Earthquake Victims... http://t.co/a7zQtYegpF",1
186,"RT @tulashah: 5th day..no electricity.. unable to charge mobile, continuous scarcity of water, ..diarrhoea problem in kids...#KTM life afte…",0
187,Blood Banks #Nepal Patan Hospital 5522278/5522266 Bhaktapur Hospital 6610676 Mental Hospital 5521333 #India #Earthquake,1
188,"RT @VijayJollyBJP: .@narendramodi Todaywe visit Nepal Embassy wth ReliefMaterial- Tents,Tarpaulins, Blankets,Face Masks,Gloves at 12noon fr…",1
189,RT @Vjdesire: Hats off to #IndianArmy who is providing the best help to #earthquake victims in #NepalEarthquake,2
190,Nepal earthquake day five - in pictures http://t.co/7ZbTrLXpUo,2
191,"#earthquake at West Bengal, Dhaka, Orissa, Jharkhand &amp; Bihar..",2
192,Disable your WiFi passwords in times of crisis. #Louisianaflooding https://t.co/0B440jTaT9 via @thenextweb,0
193,"#Notizie #News Colosseum 'undamaged' by central Italian earthquake
 :   https://t.co/yZyGVey1V3",2
194,"USGS reports a M1.8 #earthquake 30km ENE of Lovelock, Nevada on 8/25/16 @ 21:18:11 UTC https://t.co/MVuTZy7QHM #quake",2
195,Bombo Radyo Philippines - 'Walang OFW na nasawi sa Italy killer quake' - DFA https://t.co/hLz12k2AaN,2
196,"RT @Mister_Ka: #Russia:We are ready to send field hospital,fresh water plant and heavy transport helicopters to #Nepal to assist in #Earthq…",1
197,"A week after earthquake, Nepal still needs tents and food: Nepal's government renewed its appeal to internatio... http://t.co/d6XWqouvbh",0
198,Supporting Online Volunteer Response to the Nepal Earthquake http://t.co/NUepe3DcBt via @ushahidi,2
199,"#Delhi #Sikh body sends 25,000 #food packets to #Nepal | http://t.co/b3roO2Ucgo | #India #Earthquake #infoblazeIND",1
200,"RT @drspagarwal: Nepal earthquake victims in urgent need of Tarpaulins. Indian #RedCross provides 20,000 more Tarpaulins. #IFRC #ICRC",0
201,"RT @aloksinha2001: RT @anirmukerji: RT @Krittivasm: 50% of houses in #Nepal damaged, commodities supply low, 5,000 tents need fr patients a…",0
202,Google News :  Nepal earthquake: Homeless urgently need tents; death toll above 5200 - CNN http://t.co/DzQNyzq9yt,0
203,"#COVID19, India well past 5 lakh(half million)cases with over 15,800 fatalities, world cases near 10 million with half a million fatalities, where all this will stop https://t.co/PsdcYZvkQN",2
204,T-Mobile offering free calling and texting to Italy following earthquake - TmoNews https://t.co/hsBHjYes3n,1
205,"""Red Cross: Turn your wi-fi password off"" https://t.co/qneEyPutC8",0
206,"#help #earthquake plastic tablewear, water, detergents, long-life food #pleasedonate #everythingcanhelp https://t.co/tlbRMAAe9J",0
207,Artist creates sand-art to raise awareness about earthquake victims. @ZeeNews http://t.co/Gr3Dm1wQbZ #Art #SudarshanPatnaik #SandArtists,2
208,"Survivor of Saturday's #Nepal earthquake being evacuated in an IAF helicopter from Trishuli Bazar,… https://t.co/jOGrUbtVxs",1
209,"RT @Floordevriess: Need for helicopters in #Langtang! Dutch travelers need to be rescued, please share. #nepal #earthquake #rescue http://t…",0
210,"RT @InsanSatveer: #HappyDSSFoundationDay #MSGHelpEarthquakeVictims Nepal earthquake: Homeless urgntly need tents; death toll abve 5,500 htt…",0
211,Grabe yung aftermath ng earthquake sa Italy. 😱😢,2
212,Another Quake https://t.co/yOVyQk63pX,2
213,"Swift relief material reach,Call to Nepal Vl b charged as local call.250 Indians airlifted fr Khatmandu.Medical Team on d way.Govt tht works",1
214,#ICYMI: Team Rubicon UK has an assessment team of medics en route to Italy. More information: https://t.co/0cWWw5IEEd #ItalyEarthquake,1
215,"8mn affected by #earthquake  , 1.4mn in need of food ! @UN",0
216,Precautionary measures to ensure your safety when you come to Shaukat Khanum Memorial Cancer Hospital and Research Centre. \n\n#Coronavirus #COVID19 #SKMCH\nhttps://t.co/XkilIs19sI,2
